;Intensity Mean;Intensity Max;Intensity Min;Intensity STD;F0 Mean;F0 Max;F0 Min;F0 STD;Spect Mean;Spect Max;Spect Min;Spect Std;Slope;Centroid;Tempo;Longest Pause;Longest Speech;s2pr;Direction
45;70.42130433481339;84.46850624180689;48.87451542766297;8.981626688610694;118.97847121516475;501.7016537860354;87.76938884827229;65.14652784267619;-68.99514770507812;0.000003814697265625;-80;18.05260467529297;-0.0000016712204973738993;1.4080000000000001;6.382978723404271;752;6015;7.632262996941896;0
46;66.76994936996778;86.48939256287619;51.188363389899855;10.59231564816916;114.187990023562;144.18922116284273;90.92296592915231;20.528019721191328;-68.65978240966797;0;-80;18.383005142211914;-0.0000011621378608342813;0.256;3.0303030303029153;100;1781;19.550387596899224;0
47;64.60208591596196;78.66324775405263;46.00679049296326;6.39087020515236;117.09002886903355;134.06709811975873;82.84695039419941;12.786804913449142;-68.02166748046875;0;-80;18.82992172241211;-0.0000011682761325259343;0.7679999999999999;4.142011834319532;516;6434;9.465224111282843;0
48;66.84438665513015;82.24368822244152;45.14330032791402;7.619563449250682;136.95522730265128;535.6071925792618;76.59897022770478;85.16519550903013;-68.80032348632812;0;-80;17.82361602783203;-0.0000014963893900429071;1.4080000000000001;4.040404040404081;873;2165;5.138874548270522;0
49;75.14172649533693;86.52925160920327;45.245727356036404;10.208040498437185;128.1820998288391;505.1688420728138;86.59097916673012;95.49303696510204;-68.59356689453125;0;-80;18.737749099731445;-0.000002617759877558922;1.2800000000000002;5.405405405405458;896;3496;6.329328621908127;0
50;69.63292205288583;84.79592853080337;48.10456960095174;11.228158133735226;167.46624836730297;209.9276912342792;111.12570135950502;25.98286604945294;-70.48372650146484;0.000003814697265625;-80;15.941414833068848;-0.0000018105383186624473;0.8960000000000001;5.699481865284954;954;4289;4.396858638743455;0
51;73.65014531121399;86.93799246224962;47.451204538729115;8.18008962472361;189.5153183013028;598.9746390648246;76.57741384382379;170.20070998663826;-70.31804656982422;0;-80;16.446544647216797;-0.000002036433695377037;2.048;6.038647342995106;781;4926;9.200677131425055;0
52;72.78911140536387;85.79618712018627;54.526617366590344;9.619765523871934;255.51604929172785;572.7200971233113;97.77460463412615;193.87783539246675;-68.94860076904297;0;-80;18.238048553466797;-0.000002202241798613823;0.8960000000000001;6.486486486486606;310;3306;11.603741496598639;0
53;70.72429095285409;82.35011978619106;45.23903832793322;8.956198884557429;134.04111074663004;503.67866989849256;74.82888756819746;61.239135822368766;-68.94459533691406;0;-80;18.204675674438477;-0.0000017799158159285736;4.096;2.6442307692307896;5735;5101;3.4500066835984495;0
54;73.30170344906382;85.59020489465885;43.36303203880106;9.93703356613027;123.78915805510624;580.3714426163364;88.68878613911134;101.08071380861129;-68.90172576904297;0;-80;18.233121871948242;-0.000002177718580008311;1.536;5.844155844155982;1140;4384;5.994327850255247;0
